Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,19.845715,19.893929,19.715000,19.754642,17.655001,234684800
2014-01-03,19.745001,19.775000,19.301071,19.320715,17.267195,392467600
2014-01-06,19.194643,19.528572,19.057142,19.426071,17.361351,412610800
2014-01-07,19.440001,19.498571,19.211428,19.287144,17.237186,317209200
2014-01-08,19.243214,19.484285,19.238928,19.409286,17.346355,258529600
2014-01-09,19.528572,19.530714,19.119642,19.161428,17.124836,279148800
2014-01-10,19.279642,19.314285,18.968214,19.033571,17.010567,304976000
2014-01-13,18.925358,19.375000,18.924286,19.133215,17.099621,378492800
2014-01-14,19.222143,19.526072,19.202143,19.513929,17.439869,332561600
2014-01-15,19.768572,20.007143,19.702143,19.905714,17.790016,391638800
2014-01-16,19.817858,19.887501,19.702858,19.794643,17.690750,229278000
2014-01-17,19.695715,19.716785,19.282143,19.309643,17.257294,426739600
2014-01-21,19.321072,19.645357,19.300714,19.609642,17.525410,328526800
2014-01-22,19.675358,19.903214,19.564642,19.696785,17.603291,379985200
2014-01-23,19.640715,19.875000,19.457500,19.863571,17.752350,403239200
2014-01-24,19.785715,19.843571,19.455357,19.502501,17.429659,429354800
2014-01-27,19.645357,19.814285,19.491072,19.660715,17.571051,554878800
2014-01-28,18.170000,18.392857,17.931072,18.089285,16.166645,1065523200
2014-01-29,17.998215,18.120358,17.807858,17.883928,15.983117,502810000
2014-01-30,17.947857,18.089285,17.739286,17.849285,15.952156,678501600
2014-01-31,17.684999,17.911785,17.626785,17.878571,15.978329,464797200
2014-02-03,17.950357,18.133215,17.832144,17.911785,16.008011,401464000
2014-02-04,18.066071,18.195000,17.955715,18.171072,16.239738,376681200
2014-02-05,18.091429,18.402857,18.080357,18.306786,16.361029,328344800
2014-02-06,18.216429,18.339285,18.136072,18.303928,16.456394,257765200
2014-02-07,18.620714,18.676071,18.477858,18.559999,16.686625,370280400
2014-02-10,18.523571,18.999643,18.500000,18.892500,16.985558,345559200
2014-02-11,18.950357,19.205357,18.910715,19.141428,17.209360,282256800
2014-02-12,19.176786,19.270000,19.044285,19.139999,17.208076,308100800
2014-02-13,19.094999,19.458929,19.078571,19.443928,17.481329,307398000
2014-02-14,19.373928,19.499287,19.328928,19.428215,17.467201,272924400
2014-02-18,19.500000,19.685358,19.486071,19.499643,17.531420,260251600
2014-02-19,19.455357,19.531786,19.083929,19.191786,17.254637,313768000
2014-02-20,19.035357,19.178572,18.892857,18.969643,17.054920,305858000
2014-02-21,19.028214,19.091785,18.735714,18.758928,16.865467,278784800
2014-02-24,18.683929,18.925714,18.657858,18.841072,16.939320,288909600
2014-02-25,18.906429,18.913214,18.607143,18.645000,16.763042,231952000
2014-02-26,18.700357,18.750000,18.414286,18.476786,16.611809,276217200
2014-02-27,18.469286,18.885000,18.430357,18.845358,16.943172,301882000
2014-02-28,18.895714,19.026785,18.647142,18.794285,16.897257,371968800
2014-03-03,18.693571,18.951786,18.671785,18.848572,16.946062,238781200
2014-03-04,18.964285,19.022858,18.848928,18.972857,17.057806,259140000
2014-03-05,18.961428,19.098215,18.897499,19.012857,17.093767,200062800
2014-03-06,19.028214,19.087143,18.860714,18.955357,17.042068,185488800
2014-03-07,18.967501,18.999287,18.787500,18.944286,17.032114,220729600
2014-03-10,18.870001,19.047501,18.869286,18.961428,17.047529,178584000
2014-03-11,19.123215,19.240715,19.021070,19.146070,17.213535,279224400
2014-03-12,19.089643,19.191071,19.000000,19.164642,17.230230,199326400
2014-03-13,19.194286,19.273571,18.898571,18.951786,17.038860,257742800
2014-03-14,18.885357,18.960358,18.678572,18.738928,16.847494,237199200
2014-03-17,18.846428,18.927500,18.780357,18.812143,16.913315,199544800
2014-03-18,18.782143,18.998928,18.757143,18.978571,17.062943,209647200
2014-03-19,19.009285,19.151428,18.892857,18.973572,17.058451,224756000
2014-03-20,18.924643,19.023928,18.833929,18.882143,16.976252,208398400
2014-03-21,18.997499,19.062500,18.797501,19.031071,17.110138,374046400
2014-03-24,19.229286,19.303572,19.109285,19.256786,17.313072,355700800
2014-03-25,19.339285,19.491072,19.271070,19.463928,17.499308,282293200
2014-03-26,19.518572,19.607143,19.245001,19.277857,17.332014,299768000
2014-03-27,19.286428,19.339285,19.111429,19.195000,17.257528,222031600
2014-03-28,19.225714,19.247858,19.080357,19.173571,17.238264,200564000
2014-03-31,19.258215,19.314642,19.140358,19.169285,17.234411,168669200
2014-04-01,19.205715,19.352501,19.170357,19.344643,17.392065,200760000
2014-04-02,19.370714,19.410000,19.295000,19.376785,17.420961,180420800
2014-04-03,19.335358,19.375000,19.201429,19.242500,17.300228,162344000
2014-04-04,19.278929,19.285715,18.949286,18.993572,17.076431,275251200
2014-04-07,18.857857,18.960714,18.638929,18.695356,16.808319,289850400
2014-04-08,18.756786,18.790001,18.525000,18.694286,16.807354,243888400
2014-04-09,18.665714,18.946072,18.643572,18.940001,17.028269,206169600
2014-04-10,18.952858,19.008572,18.684643,18.695715,16.808636,239652000
2014-04-11,18.535715,18.672501,18.469286,18.557501,16.684374,271717600
2014-04-14,18.639286,18.648571,18.471786,18.631428,16.750841,205674000
2014-04-15,18.581072,18.629999,18.261786,18.498571,16.631395,266490000
2014-04-16,18.501785,18.610357,18.362143,18.536072,16.665108,214765600
2014-04-17,18.571428,18.848572,18.542856,18.747858,16.855518,284334400
2014-04-21,18.762142,19.004999,18.712856,18.970358,17.055557,182548800
2014-04-22,18.868214,18.993929,18.803572,18.989286,17.072578,202563200
2014-04-23,18.895000,18.968929,18.730356,18.741072,16.849413,394940000
2014-04-24,20.293215,20.357143,20.026072,20.277500,18.230759,759911600
2014-04-25,20.161785,20.428215,20.141428,20.426428,18.364656,390275200
2014-04-28,20.457144,21.276785,20.448214,21.217501,19.075882,669485600
2014-04-29,21.205000,21.285000,21.053928,21.154642,19.019367,337377600
2014-04-30,21.165714,21.408215,21.064285,21.074642,18.947445,456640800
2014-05-01,21.142857,21.242857,20.941429,21.124287,18.992083,244048000
2014-05-02,21.155001,21.221428,21.061071,21.163572,19.027393,191514400
2014-05-05,21.076429,21.464285,21.071428,21.462856,19.296471,287067200
2014-05-06,21.492857,21.586071,21.228930,21.228930,19.086161,374564400
2014-05-07,21.258928,21.331785,20.990356,21.154642,19.019367,282864400
2014-05-08,21.008928,21.228930,20.942858,20.999643,18.985466,230297200
2014-05-09,20.876429,20.937500,20.726072,20.912144,18.906357,291597600
2014-05-12,20.981785,21.202143,20.978571,21.172501,19.141747,213208800
2014-05-13,21.142857,21.233572,21.096428,21.205715,19.171772,159737200
2014-05-14,21.158215,21.335714,21.133572,21.209642,19.175322,166404000
2014-05-15,21.239286,21.307142,21.001429,21.029285,19.012260,230846000
2014-05-16,21.022499,21.340357,20.907143,21.339643,19.292860,276256400
2014-05-19,21.351786,21.690357,21.333214,21.592501,19.521465,317755200
2014-05-20,21.589643,21.657143,21.454643,21.596786,19.525330,234836000
2014-05-21,21.565357,21.667856,21.502142,21.653929,19.576996,196859600
2014-05-22,21.664286,21.780357,21.575001,21.688213,19.607990,200760000
2014-05-23,21.687500,21.954643,21.659643,21.933214,19.829494,232209600
2014-05-27,21.995714,22.352142,21.986786,22.343929,20.200815,348866000
2014-05-28,22.357857,22.493929,22.277857,22.286072,20.148506,315481600
2014-05-29,22.423214,22.745358,22.420357,22.692142,20.515631,376474000
2014-05-30,22.785000,23.006071,22.460714,22.607143,20.438786,564020800
2014-06-02,22.641428,22.672501,22.232143,22.451786,20.298330,369350800
2014-06-03,22.445000,22.812143,22.437500,22.769285,20.585373,292709200
2014-06-04,22.765715,23.138929,22.718214,23.029285,20.820440,335482000
2014-06-05,23.078571,23.191786,22.950357,23.119642,20.902132,303805600
2014-06-06,23.210714,23.259285,23.016787,23.056072,20.844652,349938400
2014-06-09,23.174999,23.469999,22.937500,23.424999,21.178194,301660000
2014-06-10,23.682501,23.762501,23.392500,23.562500,21.302504,251108000
2014-06-11,23.532499,23.690001,23.367500,23.465000,21.214357,182724000
2014-06-12,23.510000,23.530001,22.975000,23.072500,20.859509,218996000
2014-06-13,23.049999,23.110001,22.719999,22.820000,20.631224,218100000
2014-06-16,22.877501,23.187500,22.862499,23.049999,20.839161,142244000
2014-06-17,23.077499,23.174999,22.950001,23.020000,20.812040,118904000
2014-06-18,23.067499,23.072500,22.837500,23.045000,20.834646,134056000
2014-06-19,23.072500,23.075001,22.834999,22.965000,20.762318,142112000
2014-06-20,22.962500,23.137501,22.725000,22.727501,20.547600,403592000
2014-06-23,22.830000,22.905001,22.650000,22.707500,20.529516,174776000
2014-06-24,22.687500,22.934999,22.547501,22.570000,20.405201,156144000
2014-06-25,22.552500,22.674999,22.412500,22.590000,20.423283,147476000
2014-06-26,22.592501,22.762501,22.450001,22.725000,20.545340,130516000
2014-06-27,22.705000,23.000000,22.692499,22.995001,20.789442,256116000
2014-06-30,23.025000,23.432501,23.022499,23.232500,21.004162,197929200
2014-07-01,23.379999,23.517500,23.282499,23.379999,21.137508,152892000
2014-07-02,23.467501,23.514999,23.272499,23.370001,21.128471,113860000
2014-07-03,23.417500,23.525000,23.299999,23.507500,21.252779,91567200
2014-07-07,23.535000,23.997499,23.525000,23.992500,21.691263,225872000
2014-07-08,24.067499,24.200001,23.480000,23.837500,21.551130,260888000
2014-07-09,23.860001,23.987499,23.690001,23.847500,21.560169,145744000
2014-07-10,23.440001,23.887501,23.379999,23.760000,21.481068,158744000
2014-07-11,23.840000,23.972500,23.715000,23.805000,21.521749,136072000
2014-07-14,23.965000,24.222500,23.912500,24.112499,21.799751,171240000
2014-07-15,24.200001,24.212500,23.757500,23.830000,21.544352,181911600
2014-07-16,24.242500,24.275000,23.684999,23.695000,21.422298,213585200
2014-07-17,23.757500,23.820000,23.142500,23.272499,21.040323,229192000
2014-07-18,23.405001,23.684999,23.254999,23.607500,21.343189,199952000
2014-07-21,23.747499,23.750000,23.430000,23.485001,21.232445,156316000
2014-07-22,23.670000,23.722500,23.530001,23.680000,21.408739,220788000
2014-07-23,23.855000,24.469999,23.792500,24.297501,21.967014,371672000
2014-07-24,24.260000,24.330000,24.105000,24.257500,21.930843,182916000
2014-07-25,24.212500,24.459999,24.160000,24.417500,22.075497,173876000
2014-07-28,24.455000,24.809999,24.387501,24.754999,22.380627,221272000
2014-07-29,24.832500,24.860001,24.562500,24.594999,22.235979,172572000
2014-07-30,24.610001,24.674999,24.417500,24.537500,22.183990,132040000
2014-07-31,24.290001,24.362499,23.832500,23.900000,21.607637,227372000
2014-08-01,23.725000,24.155001,23.702499,24.032499,21.727428,194044000
2014-08-04,24.092501,24.145000,23.792500,23.897499,21.605373,159832000
2014-08-05,23.840000,23.920000,23.590000,23.780001,21.499149,223732000
2014-08-06,23.687500,23.870001,23.677500,23.740000,21.462980,154232000
2014-08-07,23.732500,23.987499,23.525000,23.620001,21.460707,186844000
2014-08-08,23.565001,23.705000,23.320000,23.684999,21.519770,167460000
2014-08-11,23.817499,24.020000,23.709999,23.997499,21.803699,146340000
2014-08-12,24.010000,24.219999,23.902500,23.992500,21.799154,135180000
2014-08-13,24.037500,24.309999,24.010000,24.309999,22.087633,127664000
2014-08-14,24.332500,24.392500,24.200001,24.375000,22.146690,112464000
2014-08-15,24.475000,24.547501,24.215000,24.495001,22.255726,195804000
2014-08-18,24.622499,24.842501,24.495001,24.790001,22.523756,190288000
2014-08-19,24.852501,25.170000,24.830000,25.132500,22.834940,277596000
2014-08-20,25.110001,25.272499,24.987499,25.142500,22.844028,210796000
2014-08-21,25.142500,25.235001,25.027500,25.145000,22.846298,133912000
2014-08-22,25.072500,25.367500,25.047501,25.330000,23.014387,176736000
2014-08-25,25.447500,25.542500,25.320000,25.385000,23.064362,161080000
2014-08-26,25.355000,25.375000,25.215000,25.222500,22.916710,132608000
2014-08-27,25.254999,25.642500,25.174999,25.532499,23.198374,209476000
2014-08-28,25.397499,25.695000,25.389999,25.562500,23.225632,273840000
2014-08-29,25.715000,25.725000,25.549999,25.625000,23.282417,178380000
2014-09-02,25.764999,25.934999,25.680000,25.825001,23.464140,214256000
2014-09-03,25.775000,25.799999,24.645000,24.735001,22.473783,501684000
2014-09-04,24.712500,25.022499,24.447500,24.530001,22.287521,342872000
2014-09-05,24.700001,24.847500,24.577499,24.742500,22.480597,233828000
2014-09-08,24.825001,24.827499,24.512501,24.590000,22.342033,185426800
2014-09-09,24.770000,25.770000,24.035000,24.497499,22.257992,759385200
2014-09-10,24.502501,25.277500,24.440001,25.250000,22.941702,403478400
